ticket_id,customer_id,created_date,channel,subject,ticket_text,category,priority
TKT-102110,CUST-4120,2026-01-19 03:08,Chat,billing portal not working,"hello, i noticed the billing portal is loading really slowly today, takes almost a minute to respond.",Technical Issue,Medium
TKT-102099,CUST-4675,2026-01-19 03:54,Chat,Suggestion for two-factor authentication improvement,"it would be great if the two-factor authentication supported dark mode, staring at the bright screen at night is rough. Looking forward to your response.",Feature Request,Low
TKT-101551,CUST-4218,2026-01-19 06:13,Chat,Slow performance issue,I'm getting error ERR_4042 every time I try to open the search function on my Chrome browser. It's been happening for 10 days now.,Technical Issue,High
TKT-101814,CUST-3539,2026-01-19 07:28,Email,Subscription renewal issue,Could you walk me through how proration works when upgrading from Basic to Annual Membership?,Billing Issue,Low
TKT-100164,CUST-4276,2026-01-19 14:24,Email,Refund not received yet,"I see two separate charges of $59.99 on April 09, 2026, both labeled the same. Please investigate. Please advise.",Refund Request,High
TKT-100131,CUST-8289,2026-01-19 15:18,Phone,New feature idea,Feature idea: let us tag and filter items by custom labels in API integration.,Feature Request,Low
TKT-100276,CUST-6963,2026-01-19 16:43,Web Form,Integration request,"Requesting a bulk edit option in notification settings, editing items one by one is really slow.",Feature Request,Medium
TKT-101966,CUST-6576,2026-01-19 18:27,Chat,Tracking not updating,"My order ORD-50773 was supposed to arrive on February 10, 2026 but tracking hasn't updated in 21 days.",Shipping & Delivery,High
TKT-101298,CUST-4594,2026-01-19 20:42,Chat,Integration request,would love to see keyboard shortcuts added to the dark mode setting for power users.,Feature Request,Low
TKT-100680,CUST-1329,2026-01-20 02:26,Web Form,Order stuck in processing,"my package never came and tracking just stopped updating since April 16, 2026, kinda annoyed tbh",Shipping & Delivery,Medium
TKT-101797,CUST-9698,2026-01-20 03:27,Chat,Refund for double billing,"Hi team, i'm having an issue and need someone to help me as soon as possible.",Billing Issue,Medium
TKT-101665,CUST-1777,2026-01-20 03:39,Chat,Order ORD-42890 delayed,Order ORD-42890 has been 'out for delivery' for three days straight without arriving.,Shipping & Delivery,High
TKT-102101,CUST-4394,2026-01-20 03:58,Chat,Unable to load data export tool,"the whole platform has been unreachable for the past hour, getting a 503 error nonstop.",Technical Issue,Critical
TKT-100993,CUST-2328,2026-01-20 05:32,Email,Question about desk lamp,Wondering what languages the search function currently supports.,Product Inquiry,Low
TKT-100925,CUST-1988,2026-01-20 07:45,Web Form,Can't log in to my account,"Hi, my account shows as suspended, I have no idea why. Please help urgently, I need this for work.",Account Access,Critical
TKT-101237,CUST-5583,2026-01-20 12:54,Phone,Compatibility question,"Hello Support, i'm not sure what happened but something definitely isn't right.",Product Inquiry,Medium
TKT-101197,CUST-8620,2026-01-20 14:40,Phone,Refund request for order ORD-39716,"Hi team, my package never came and tracking just stopped updating since March 12, 2026, kinda annoyed tbh Please advise.",Refund Request,High
TKT-100269,CUST-9331,2026-01-20 14:45,Phone,Unable to reset password,"Hello, my account shows as suspended, I have no idea why. Please help urgently, I need this for work. Thanks.",Account Access,Critical
TKT-101514,CUST-6971,2026-01-20 19:24,Phone,Bug in mobile app,The mobile app keeps crashing whenever I try to save changes. Could someone look into this? Thank you.,Technical Issue,High
TKT-100713,CUST-8555,2026-01-20 19:46,Phone,Sync issue with notification settings,"This isn't working the way I expected, can you look into it? Thank you.",Technical Issue,Medium
TKT-101206,CUST-4921,2026-01-20 19:55,Phone,Wrong item received,Can you expedite a replacement shipment for the damaged webcam from order ORD-86673? Thank you.,Shipping & Delivery,High
TKT-101555,CUST-9964,2026-01-20 23:34,Email,Feature suggestion for dark mode setting,Would be great to have role-based permissions for dark mode setting instead of all-or-nothing access.,Feature Request,Medium
TKT-100297,CUST-6793,2026-01-20 23:35,Email,Refund request for order ORD-69346,"I'd like to request a full refund for order ORD-69346, the desk lamp doesn't work as advertised.",Refund Request,Medium
TKT-100876,CUST-5968,2026-01-21 03:57,Chat,Refund not received yet,"Requesting refund confirmation in writing for order ORD-68844, need it for my records.",Refund Request,Low
TKT-100205,CUST-2920,2026-01-21 07:49,Phone,Invoice request,"Could you send me a copy of my invoice for May 01, 2026? I need it for expense reporting.",Billing Issue,Low
TKT-102027,CUST-3520,2026-01-21 09:24,Phone,Feature suggestion for two-factor authentication,It would help a lot if two-factor authentication had an offline mode for when we lose internet. Looking forward to your response.,Feature Request,Medium
TKT-101804,CUST-3558,2026-01-21 14:05,Chat,Compatibility question,"Hello, what's the maximum file size supported by the customer portal for uploads?",Product Inquiry,Low
TKT-100694,CUST-2639,2026-01-21 14:30,Phone,Pricing question,Do you have plans to release a iPhone version of the app?,Product Inquiry,Low
TKT-100349,CUST-9911,2026-01-21 15:46,Email,Feature suggestion for API integration,Could you add an undo button to API integration? Accidentally deleted something important recently.,Feature Request,Medium
TKT-101930,CUST-8834,2026-01-21 18:40,Email,Integration request,Please add a way to schedule reports in team collaboration tool instead of generating them manually each time.,Feature Request,Low
TKT-101333,CUST-4865,2026-01-21 18:50,Email,Basic Plan vs Annual Membership comparison,"Hi, does the Basic Plan include access to billing portal, or is that a separate add-on?",Product Inquiry,Low
TKT-101641,CUST-1184,2026-01-21 19:23,Chat,Product availability question,What's the difference between the Standard Plan and Pro Plan? Trying to decide which one to get.,Product Inquiry,Low
TKT-101052,CUST-8589,2026-01-21 20:05,Web Form,Requesting refund for Premium Plan,"Requesting refund confirmation in writing for order ORD-91220, need it for my records. Appreciate the help.",Refund Request,Low
TKT-101405,CUST-3494,2026-01-21 21:36,Chat,Can't log in to my account,is there a way to set up single sign-on (SSO) for our organization's account? Thank you.,Account Access,Low
TKT-100412,CUST-4418,2026-01-21 22:31,Web Form,Question about wireless mouse,"Hello Support, what's the maximum file size supported by the customer portal for uploads?",Product Inquiry,Low
TKT-101860,CUST-7149,2026-01-22 02:02,Web Form,Bug in reporting module,"Integration with our third-party tool stopped working after your last update, error 500 Internal Server Error appears constantly.",Technical Issue,High
TKT-101291,CUST-2825,2026-01-22 03:36,Phone,Refund request for order ORD-31615,Can you confirm if order ORD-31615 has shipped yet? Haven't gotten a confirmation email.,Refund Request,Low
TKT-100735,CUST-6253,2026-01-22 04:11,Chat,Slow performance issue,Dark mode setting in dark mode setting resets itself every time I refresh the page.,Technical Issue,Low
TKT-101616,CUST-8656,2026-01-22 08:47,Phone,Error ERR_CONN_RESET when using notification settings,"Getting a blank white screen when I try to load the dashboard on Chrome browser. Tried clearing cache, didn't help.",Technical Issue,High
TKT-100669,CUST-5468,2026-01-22 08:52,Phone,Account suspended,"Account access is completely blocked for our whole team since this morning, pls escalate.",Account Access,Critical
TKT-100799,CUST-3500,2026-01-22 12:03,Chat,Refund for double billing,"Hello, charged $9.99 for a plan I never signed up for. This needs to be reversed today. Looking forward to your response.",Billing Issue,Critical
TKT-100921,CUST-7522,2026-01-22 12:11,Chat,Bug in calendar sync,"We're unable to generate reports through calendar sync, it just spins forever and times out.",Technical Issue,High
TKT-102191,CUST-9968,2026-01-22 12:38,Web Form,Order ORD-27818 delayed,Just want to double check the estimated delivery window for order ORD-27818.,Shipping & Delivery,Low
TKT-101381,CUST-2795,2026-01-22 15:02,Email,Integration request,Are there any bulk discount options if I order multiple USB-C hub units?,Feature Request,Low
